Date;Time;Pokemon;Trainer Region;Trainer Subregion;Pokemon Region;Level;Level Met;Gender;Type1;Type2;Nature;Pokeball;Held Item;Perfect IVs
12/13/16;17:28;Oricorio;South Korea;;;13;10;F;Electric;Flying;Sassy;Poke;F;0
12/13/16;17:30;Zubat;United States;Texas;GER;8;8;M;Poison;Flying;Hardy;Poke;F;1
12/13/16;17:31;Carbink;United States;Oklahoma;;10;10;N;Rock;Fairy;Relaxed;Poke;F;0
12/13/16;17:33;Klefki;United States;Connecticut;;29;29;M;Steel;Fairy;Jolly;Quick;F;0
12/13/16;17:34;Luvdisc;United States;;;16;16;M;Water;;Naughty;Quick;F;0
12/13/16;17:35;Roggenrola;United Kingdom;;SPA;10;10;M;Rock;;Modest;Poke;F;1
12/13/16;17:36;Salandit;United States;California;;19;19;M;Poison;Fire;Sassy;Quick;F;0
12/13/16;17:38;Yungoos;United States;Indiana;;7;7;M;Normal;;Quiet;Great;F;0
12/13/16;17:39;Wimpod;United States;New York;;1;1;F;Bug;Water;Impish;Quick;F;3
12/13/16;17:41;Rowlet;France;;FRE;1;1;M;Grass;Flying;Adamant;Poke;F;5
12/13/16;17:42;Shinx;Germany;;GER;1;1;F;Electric;;Modest;Beast;F;5
12/13/16;17:44;A.Meowth;Canada;;JPN;26;26;M;Dark;;Jolly;Ultra;F;0
12/13/16;17:45;Mimikyu;Germany;;;1;1;M;Ghost;Fairy;Hardy;Ultra;F;0
12/13/16;17:46;A.Geodude;Canada;;;28;28;M;Rock;Electric;Bold;Poke;F;0
12/13/16;17:47;Salandit;Belgium;;SPA;17;17;M;Poison;Fire;Relaxed;Ultra;F;0
12/13/16;17:48;Torkoal;Germany;;;26;26;F;Fire;;Jolly;Quick;F;0
12/13/16;17:50;Trumbeak;United States;Virginia;;22;3;M;Normal;Flying;Hasty;Poke;F;0
12/13/16;17:51;A.Vulpix;United States;Louisiana;;1;1;F;Ice;;Timid;Ultra;F;2
12/13/16;17:52;Litwick;Mexico;;SPA;15;10;F;Ghost;Fire;Careful;Great;F;0
12/13/16;17:54;A.Vulpix;United States;Illinois;JPN;1;1;F;Ice;;Bold;Great;F;0
12/13/16;17:55;Fomantis;Brazil;;;15;15;F;Grass;;Quirky;Great;F;0
12/13/16;17:56;Abra;United States;New York;;5;5;M;Psychic;;Sassy;Great;F;0
12/13/16;17:57;Litten;United States;New York;;1;1;M;Fire;;Timid;Poke;F;0
12/13/16;17:58;A.Diglett;Italy;;;11;11;F;Ground;Steel;Sassy;Poke;F;1
12/13/16;18:00;Dratini;United States;Pennsylvania;;24;24;M;Dragon;;Timid;Quick;F;0
12/13/16;18:02;A.Raticate;Germany;;FRE;57;57;F;Dark;Normal;Careful;Great;F;0
12/13/16;18:03;Trumbeak;United States;Florida;;20;20;M;Normal;Flying;Sassy;Poke;F;0
12/13/16;18:04;Magikarp;United States;Georgia;;12;12;M;Water;;Serious;Poke;F;0
12/13/16;18:05;Beldum;Japan;;JPN;1;1;N;Steel;Psychic;Jolly;Beast;F;3
12/13/16;18:07;Snorunt;Germany;;GER;47;47;M;Ice;;Jolly;Ultra;F;0
12/13/16;18:08;Wingull;United Kingdom;;;54;54;M;Water;Flying;Bold;Poke;F;0
12/13/16;18:10;Grubbin;United States;Massachusetts;JPN;13;13;M;Bug;;Naive;Poke;F;0
12/13/16;18:11;Yungoos;United States;California;;6;6;F;Normal;;Quiet;Poke;F;1
12/13/16;18:12;A.Raticate;United States;Pennsylvania;;29;29;F;Dark;Normal;Relaxed;Dusk;F;0
12/13/16;18:13;Rowlet;United States;Massachusetts;;1;1;M;Grass;Flying;Adamant;Poke;F;4
12/13/16;18:15;Magnemite;Germany;;GER;10;8;N;Electric;Steel;Lonely;Poke;F;1
